"Região Habilitação Atual,""UF Habilitação Atual"",""Sexo"",""Faixa Etária"",""Categoria"",""Qt. Condutor Histórico"""
"Centro-Oeste,""Goiás"",""Masculino"",""31 a 40"",""AB-Condutor Moto/Carro"",""245.046"""
"Centro-Oeste,""Goiás"",""Masculino"",""31 a 40"",""AC-Condutor Moto/Caminhão"",""3.296"""
"Centro-Oeste,""Goiás"",""Masculino"",""31 a 40"",""AD-Condutor Moto/Ônibus"",""57.659"""
"Centro-Oeste,""Goiás"",""Masculino"",""31 a 40"",""AE-Condutor Moto/Carreta"",""23.603"""
"Centro-Oeste,""Goiás"",""Masculino"",""31 a 40"",""B-Condutor Carro"",""73.117"""
"Centro-Oeste,""Goiás"",""Masculino"",""31 a 40"",""C-Condutor Caminhão"",""712"""
"Centro-Oeste,""Goiás"",""Masculino"",""31 a 40"",""D-Condutor Ônibus"",""7.368"""
"Centro-Oeste,""Goiás"",""Masculino"",""31 a 40"",""E-Condutor Carreta"",""2.906"""
"Centro-Oeste,""Goiás"",""Masculino"",""41 a 50"",""A-Condutor Moto"",""14.671"""
"Centro-Oeste,""Goiás"",""Masculino"",""41 a 50"",""AB-Condutor Moto/Carro"",""154.190"""
"Centro-Oeste,""Goiás"",""Masculino"",""41 a 50"",""AC-Condutor Moto/Caminhão"",""9.599"""
"Centro-Oeste,""Goiás"",""Masculino"",""41 a 50"",""AD-Condutor Moto/Ônibus"",""49.598"""
"Centro-Oeste,""Goiás"",""Masculino"",""41 a 50"",""AE-Condutor Moto/Carreta"",""22.035"""
"Centro-Oeste,""Goiás"",""Masculino"",""41 a 50"",""B-Condutor Carro"",""77.999"""
"Centro-Oeste,""Goiás"",""Masculino"",""41 a 50"",""C-Condutor Caminhão"",""4.083"""
"Centro-Oeste,""Goiás"",""Masculino"",""41 a 50"",""D-Condutor Ônibus"",""15.962"""
"Centro-Oeste,""Goiás"",""Masculino"",""41 a 50"",""E-Condutor Carreta"",""7.621"""
"Centro-Oeste,""Goiás"",""Masculino"",""51 a 60"",""A-Condutor Moto"",""9.046"""
"Centro-Oeste,""Goiás"",""Masculino"",""51 a 60"",""AB-Condutor Moto/Carro"",""83.243"""
"Centro-Oeste,""Goiás"",""Masculino"",""51 a 60"",""AC-Condutor Moto/Caminhão"",""13.495"""
"Centro-Oeste,""Goiás"",""Masculino"",""51 a 60"",""AD-Condutor Moto/Ônibus"",""32.156"""
"Centro-Oeste,""Goiás"",""Masculino"",""51 a 60"",""AE-Condutor Moto/Carreta"",""11.013"""
"Centro-Oeste,""Goiás"",""Masculino"",""51 a 60"",""B-Condutor Carro"",""73.384"""
"Centro-Oeste,""Goiás"",""Masculino"",""51 a 60"",""C-Condutor Caminhão"",""10.250"""
"Centro-Oeste,""Goiás"",""Masculino"",""51 a 60"",""D-Condutor Ônibus"",""22.182"""
"Centro-Oeste,""Goiás"",""Masculino"",""51 a 60"",""E-Condutor Carreta"",""7.729"""
"Centro-Oeste,""Goiás"",""Masculino"",""51 a 60"",""XC-Condutor Ciclomotor/Caminhão"",""1"""
"Centro-Oeste,""Goiás"",""Masculino"",""61 a 70"",""A-Condutor Moto"",""3.670"""
"Centro-Oeste,""Goiás"",""Masculino"",""61 a 70"",""AB-Condutor Moto/Carro"",""32.378"""
"Centro-Oeste,""Goiás"",""Masculino"",""61 a 70"",""AC-Condutor Moto/Caminhão"",""6.676"""
"Centro-Oeste,""Goiás"",""Masculino"",""61 a 70"",""AD-Condutor Moto/Ônibus"",""11.982"""
"Centro-Oeste,""Goiás"",""Masculino"",""61 a 70"",""AE-Condutor Moto/Carreta"",""3.419"""
"Centro-Oeste,""Goiás"",""Masculino"",""61 a 70"",""B-Condutor Carro"",""64.625"""
"Centro-Oeste,""Goiás"",""Masculino"",""61 a 70"",""C-Condutor Caminhão"",""12.803"""
"Centro-Oeste,""Goiás"",""Masculino"",""61 a 70"",""D-Condutor Ônibus"",""18.938"""
"Centro-Oeste,""Goiás"",""Masculino"",""61 a 70"",""E-Condutor Carreta"",""5.650"""
"Centro-Oeste,""Goiás"",""Masculino"",""71 a 80"",""A-Condutor Moto"",""1.145"""
"Centro-Oeste,""Goiás"",""Masculino"",""71 a 80"",""AB-Condutor Moto/Carro"",""11.519"""
"Centro-Oeste,""Goiás"",""Masculino"",""71 a 80"",""AC-Condutor Moto/Caminhão"",""1.356"""
"Centro-Oeste,""Goiás"",""Masculino"",""71 a 80"",""AD-Condutor Moto/Ônibus"",""2.329"""
"Centro-Oeste,""Goiás"",""Masculino"",""71 a 80"",""AE-Condutor Moto/Carreta"",""321"""
"Centro-Oeste,""Goiás"",""Masculino"",""71 a 80"",""B-Condutor Carro"",""44.436"""
"Centro-Oeste,""Goiás"",""Masculino"",""71 a 80"",""C-Condutor Caminhão"",""5.714"""
"Centro-Oeste,""Goiás"",""Masculino"",""71 a 80"",""D-Condutor Ônibus"",""7.731"""
"Centro-Oeste,""Goiás"",""Masculino"",""71 a 80"",""E-Condutor Carreta"",""1.252"""
"Centro-Oeste,""Goiás"",""Masculino"",""81 a 90"",""A-Condutor Moto"",""263"""
"Centro-Oeste,""Goiás"",""Masculino"",""81 a 90"",""AB-Condutor Moto/Carro"",""2.649"""
"Centro-Oeste,""Goiás"",""Masculino"",""81 a 90"",""AC-Condutor Moto/Caminhão"",""212"""
"Centro-Oeste,""Goiás"",""Masculino"",""81 a 90"",""AD-Condutor Moto/Ônibus"",""391"""
